Location Name,Concatenated Address,Brand Name,Dine-in
111 Somerset,"111 Somerset, 111 Somerset Road, #01-48, Singapore (238164)",Nam Kee Pau,checked
Ang Mo Kio Hub,"Ang Mo Kio Hub, 53 Ang Mo Kio Avenue 3, #B2-41, Singapore (569933)",Nam Kee Pau,checked
Buangkok Square,"Buangkok Square, 991 Buangkok Link, #01-03, Singapore (530991)",Nam Kee Pau,checked
Canberra Plaza,"Canberra Plaza, 133 Canberra View, #01-24, Singapore (750133)",Nam Kee Pau,checked
Centrepoint,"Centrepoint, 176 Orchard Road, #B2-03/06, Singapore (238843)",Nam Kee Pau,checked
Clementi Mall,"Clementi Mall, 3155 Commonwealth Avenue West, #B1-K17, Singapore (129588)",Nam Kee Pau,checked
Coronation Plaza,"Coronation Plaza,  587 Bukit Timah Road, 619C, Singapore ( 269707)",Nam Kee Pau,checked
Eastpoint Mall,"Eastpoint Mall, 3 Simei Street 6, #B1-12, Singapore (528833)",Nam Kee Pau,checked
Fairprice Hub @ Joo Koon,"Fairprice Hub @ Joo Koon, 1 Joo Koon Circle, #01-36, Singapore (629117)",Nam Kee Pau,checked
Great World,"Great World, 1 Kim Seng Promenade, #B1-102/103, Singapore (237994)",Nam Kee Pau,checked
HarbourFront Centre,"HarbourFront Centre, 1 Maritime Square, #01-84C, Singapore (099253)",Nam Kee Pau,checked
Hillion Mall,"Hillion Mall, 17 Petir Road, #B2-34, Singapore (678278)",Nam Kee Pau,checked
Oasis Terrace,"Oasis Terrace, 681 Punggol Drive, #B1-16, Singapore (820681)",Nam Kee Pau,checked
Plaza Singapura,"Plaza Singapura, 68 Orchard Road, #B2-25, Singapore (238839)",Nam Kee Pau,checked
PLQ Mall,"PLQ Mall, 10 Paya Lebar Rd, #B2-K4, Singapore (409057)",Nam Kee Pau,checked
SG Hawker - Changi Airport Terminal 1 (Transit Area),"SG Hawker - Changi Airport Terminal 1 (Transit Area), Airport Boulevard, #03-47/48, Singapore (819643)",Nam Kee Pau,checked
SG Hawker - Mount Alvernia Hospital,"SG Hawker - Mount Alvernia Hospital, 820 Thomson Road, #01-33, Singapore (574623)",Nam Kee Pau,checked
SG Hawker - National Heart Centre,"SG Hawker - National Heart Centre, 5 Hospital Drive, #02-01, Singapore (169609)",Nam Kee Pau,checked
Star Vista,"Star Vista, 1 Vista Exchange Green, #B1-40A, Singapore (138617)",Nam Kee Pau,checked
The Rail Mall,"The Rail Mall, 444, #01-01, Singapore (678056)",Nam Kee Pau,checked
Thomson Plaza,"Thomson Plaza,  301 Upper Thomson Rd,  #01-K8, Singapore ( 574408)",Nam Kee Pau,checked
Tiong Bahru Plaza,"Tiong Bahru Plaza, 302 Tiong Bahru Rd, #B1-K5, Singapore (168732)",Nam Kee Pau,checked
United Square,"United Square, 101 Thomson Road, #01-77, Singapore (307591)",Nam Kee Pau,checked
V Hotel Lavender,"V Hotel Lavender, 70 Jellicoe Road, #01-13, Singapore (208767)",Nam Kee Pau,checked
Waterway Point,"Waterway Point, 83 Punggol Central, #01-K3, Singapore (828761)",Nam Kee Pau,checked
Westmall,"Westmall, 1 Bukit Batok Central Link, #B1-04, Singapore (658713)",Nam Kee Pau,checked
White Sands,"White Sands, 1 Pasir Ris Central St 3, #B1-K11, Singapore (518457)",Nam Kee Pau,checked
Woodleigh Mall,"Woodleigh Mall,  Bidadari Park Drive,  #B1-K33, Singapore ( 357804)",Nam Kee Pau,checked
Yew Tee Point,"Yew Tee Point,  21 Choa Chu Kang North 6,  #01-49/50, Singapore ( 689578)",Nam Kee Pau,checked