Location Name,Operating Hours,Concatenated Address,Brand Name
The Centrepoint,8:00 AM to 9:00 PM (Daily),"The Centrepoint, 176 Orchard Rd, #B1-07/08, Singapore (238843)",Malaysia Boleh!
Bugis Junction,10:00 AM to 9:00 PM (Daily),"Bugis Junction, 200 Victoria St, # 03-30, Singapore (188021)",Malaysia Boleh!
Northpoint City,10:00 AM to 9:00 PM (Daily),"Northpoint City, 930 Yishun Ave 2, #B1-194/195/203/204/205, Singapore (769098)",Malaysia Boleh!
Jurong Point,9:30 AM to 9:00 PM (Daily),"Jurong Point, 1 Jurong West Central 2, # 03-28, Singapore (648886)",Malaysia Boleh!
Great World,8:00 AM to 9:00 PM (Daily),"Great World, 1 Kim Seng Promenade,  # B1-102/103, Singapore (237994)",Malaysia Boleh!
i12Katong,10:00 AM to 9:00 PM (Daily),"i12Katong, 112 E Coast Rd, #B1-06/08, Singapore (428802)",Malaysia Boleh!
AMK Hub,8:00 AM to 9:00 PM (Daily),"AMK Hub, 53 Ang Mo Kio Ave 3, #B2-41/42, Singapore (569933)",Malaysia Boleh!
The Clementi Mall,10:00 AM to 9:00 PM (Daily),"The Clementi Mall, 3155 Commonwealth Ave W,  # 04-20/21/22, Singapore (129588)",Boleh Boleh!
HarbourFront Centre,9:00 AM to 9:00 PM (Daily),"HarbourFront Centre, 1 Maritime Square, #01-103/108, Singapore (099253)",Boleh Boleh!
18 Tai Seng,7:00 AM to 8:00 PM (Daily),"18 Tai Seng, 18 Tai Seng Street, #B1-14/15, Singapore (539775)",Let’s Eat!
The Seletar Mall,8:00 AM to 8:00 PM (Daily),"The Seletar Mall,  33 Sengkang W Ave, #B2-05/06, Singapore (797653)",Let’s Eat!
City Square Mall,10:00 AM to 9:00 PM (Daily),"City Square Mall, 180 Kitchener Rd, #B1-04, Singapore (208539)",Malaysia Chiak!
Marina One,7:00 AM to 6:00 PM (Daily),"Marina One, 5 Straits View, #B2-48/49, Singapore (018936)",Malaysia Chiak!
Singpost Centre,7:30 AM to 8:30 PM (Daily),"Singpost Centre, 10 Eunos Rd 8, #B1-151/152, Singapore (408600)",Malaysia Chiak!
Westmall,10:00 AM to 9:00 PM (Daily),"Westmall, 1 Bt Batok Central, #02-04, Singapore (658713)",Malaysia Chiak!
Alexandra Retail Centre,9.30 AM to 8.30 PM (Daily),"Alexandra Retail Centre, 460 Alexandra Road, #01-32, Singapore (119963)",Encik Tan
Bedok Mall,10.30 AM to 9:00 PM (Daily),"Bedok Mall, 311 New Upper Changi Road, #B1-41/42, Singapore (467360)",Encik Tan
Changi Airport,24H (Daily),"Changi Airport, Terminal 3 Transit Level 2, Departure Lounge (Central), , Singapore (819663)",Encik Tan
Compass One,10.30 AM to 9:00 PM (Daily),"Compass One, 1 Sengkang Square, #02-29, Singapore (545078)",Encik Tan
Downtown East,8:00 AM to 9:00 PM (Daily),"Downtown East, 1 Pasir Ris Close, E!Avenue, #01-336, Singapore (519599)",Encik Tan
FairPrice Hub @ Joo Koon,9.30 AM to 8.30 PM (Daily),"FairPrice Hub @ Joo Koon, 1 Joo Koon Circle, #02-29/30/31, Singapore (629117)",Encik Tan
Junction 10,8:00 AM to 9:00 PM (Daily),"Junction 10, 1 Woodlands Rd, #01-31A, Singapore (677899)",Encik Tan
Marina Square,10.30 AM to 9:00 PM (Daily),"Marina Square, 6 Raffles Blvd, #B2-275/276, Singapore (039594)",Encik Tan
Northpoint City (Noodle Section),24H (Daily),"Northpoint City (Noodle Section), 930 Yishun Avenue 2, #01-07, Singapore (769098)",Encik Tan
Northpoint City (Curry Rice Section),10.30 AM to 9:30 PM (Daily),"Northpoint City (Curry Rice Section), 930 Yishun Avenue 2, #01-07, Singapore (769098)",Encik Tan
Oasis Terrace,8:00 AM to 9:00 PM (Daily),"Oasis Terrace, 681 Punggol Drive, #01-39, Singapore (820681)",Encik Tan
Our Tampines Hub,24H (Daily),"Our Tampines Hub, 1 Tampines Walk, #01-12, Singapore (528523)",Encik Tan
SingPost Centre,8:00 AM to 9:00 PM (Daily),"SingPost Centre, 10 Eunos Road 8, #B1-156/159, Singapore (408600)",Encik Tan
Kallang Wave Mall,10.30 AM to 9:00 PM (Daily),"Kallang Wave Mall, 1 Stadium Place, #01-32, Singapore (397628)",Encik Tan
Tampines Mall,10:00 AM to 10:00 PM (Daily),"Tampines Mall, 4 Tampines Central 5, #B1-11, Singapore (529510)",Encik Tan
VivoCity,8:00 AM to 9:00 PM (Daily),"VivoCity, 1 HarbourFront Walk, #B2-37, Singapore (098585)",Encik Tan
Waterway Point,24H (Daily),"Waterway Point, 83 Punggol Central, #B2-03, Singapore (828761)",Encik Tan
West Mall,8:00 AM to 9:00 PM (Daily),"West Mall, 1 Bukit Batok Central Link, #01-01/36, Singapore (658713)",Encik Tan
YewTee Point,10:00 AM to 9:00 PM (Daily),"YewTee Point, 21 Choa Chu Kang North 6, #B1-28, Singapore (689578)",Encik Tan
Buangkok Hawker Centre (Noodle Section),7:00 AM to 9:00 PM (Daily),"Buangkok Hawker Centre (Noodle Section), Sengkang Grand Mall, 70 Compassvale Bow, #02-K47, Singapore (544692)",Encik Tan
Buangkok Hawker Centre (Curry Rice Section),11:00 AM to 9:00 PM (Daily),"Buangkok Hawker Centre (Curry Rice Section), Sengkang Grand Mall, 70 Compassvale Bow, #02-K48, Singapore (544692)",Encik Tan
NTU North Spine Plaza,9:00 AM to 7:00 PM (Daily),"NTU North Spine Plaza, 76 Nanyang Dr, #01-04, Singapore (637331)",Encik Tan
"Mount Alvernia Hospital, SG Hawker",9:00 AM to 7:00 PM (Daily),"Mount Alvernia Hospital, SG Hawker, 820 Thomson Rd, #01-33, Singapore (574623)",Encik Tan
"Changi Airport, SG Hawker",24H (Daily),"Changi Airport, SG Hawker, Terminal 1 (Transit Area), #03-47/48, Singapore (819642)",Encik Tan
Tangs Plaza,Mon to Sat: 10.30 AM - 9.30 PM Sun: 11:00 AM - 9:00 PM,"Tangs Plaza, 310 Orchard Rd, Basement 1, #B1, Singapore (238864)",Tangs Market
Plaza Singapura,8:00 AM to 9:00 PM (Daily),"Plaza Singapura, 68 Orchard Rd, #B2-39, Singapore (238839)",85 Redhill
United Square,7:45 AM to 8:00 PM (Daily),"United Square, Thomson Rd, 101, #01-79/80, Singapore (307591)",85 Redhill
Valley Point,8:00 AM to 7:00 PM (Daily),"Valley Point, 491 River Valley Road, #01-07/08, Singapore (248371)",85 Redhill
Westgate,10:00 AM to 8:30 PM (Daily),"Westgate, 3 Gateway Dr, #B2-K13/14, Singapore (608532)",85 Redhill
White Sands,9:00 AM to 8:30 PM (Daily),"White Sands, 1 Pasir Ris Central St 3, #B1-K12 13, Singapore (518457)",85 Redhill
East Point Mall,9:00 AM to 9:00 PM (Daily),"East Point Mall, 3 Simei street 6  , #B1-16, Singapore (528833)",85 Redhill
Sun Plaza,7:30 AM to 9 PM (Daily),"Sun Plaza, 30 Sembawang Dr, #B1-43, Singapore (757713)",85 Redhill
"Mount Alvernia Hospital, SG Hawker",9:00 AM to 7:00 PM (Daily),"Mount Alvernia Hospital, SG Hawker, 820 Thomson Rd, #01-33, Singapore (574623)",85 Redhill
Millenia Walk,8:00 AM to 8:00 PM (Daily),"Millenia Walk, 9 Raffles Boulevard, #01-91B, Singapore (039596)",EAT
City Square Mall,9:00 AM to 9:00 PM (Daily),"City Square Mall, 180 Kitchener Rd, , Singapore (208539)",EAT
Tiong Bahru Plaza,9:30 AM to 9:30 PM (Daily),"Tiong Bahru Plaza, 302 Tiong Bahru Rd, #B1-140, Singapore (168732)",EAT
Harbourfront Centre,8:00 AM to 8:00 PM (Daily),"Harbourfront Centre, 1 Maritime Square, #01-84B, Singapore (099523)",EAT
Northpoint City,9:00 AM to 9:30 PM (Daily),"Northpoint City, 930 Yishun Ave 2, #B2-14, Singapore (769098)",EAT
Woodlands MRT,24H (Daily),"Woodlands MRT, 30 Woodlands Ave 2, #01-09, Singapore ( 738343)",EAT
Bedok Mall,9:30 AM to 9:30 PM (Daily),"Bedok Mall, 311 New Upper Changi Rd, #B2-K14, Singapore (467360)",EAT
Compass One,8.30 AM - 9.30 PM (Daily),"Compass One, 1 Sengkang Square, #B1-40, Singapore (545078)",EAT
Nex,9:00 AM to 9:30 PM (Daily),"Nex, 23 Serangoon Central, #01-59, Singapore (556083)",EAT
Century Square,9:00 AM to 9:00 PM (Daily),"Century Square, 2 Tampines Central 5, #B1-31, Singapore (529509)",EAT
PLQ Mall,9:00 AM to 9:00 PM (Daily),"PLQ Mall, 10 Paya Lebar Rd, #B2-K2, Singapore (409057)",EAT
The Woodleigh Mall,9:00 AM to 9:00 PM (Daily),"The Woodleigh Mall, 11 Bidadari Park Dr, #B1-K40, Singapore (367803)",EAT
Clementi Mall,8.30 AM - 9.30 PM (Daily),"Clementi Mall, 3155 Commonwealth Ave W, #B1 -17, Singapore (129588)",EAT
Jurong Point,24H (Daily),"Jurong Point, 1 Jurong West Central 2, #01-76, Singapore (648886)",EAT
IMM,9:00 AM to 9:00 PM (Daily),"IMM, 2 Jurong East Street 21, #01 -K08, Singapore (609601)",EAT
Rail Mall,24H (Daily),"Rail Mall, Upper Bukit Timah Rd, #380 Fuyong Estate, 436, Singapore (678040)",EAT
JEM,9:00 AM to 9:00 PM (Daily),"JEM, 50 Jurong Gateway Rd, #B1-K12, Singapore (608549)",EAT
Lot One,8.30 AM - 9.30 PM (Daily),"Lot One, 21 Choa Chu Kang Ave 4, #B1 - K3, Singapore (689812)",EAT
Bukit Panjang Integrated Transport Hub,8:00 AM to 8:00 PM (Daily),"Bukit Panjang Integrated Transport Hub, 15 Petir Rd, #01-57, Singapore (678270)",EAT
Star Vista,9:00 AM to 8:00 PM (Daily),"Star Vista, 1 Vista Exchange Green, #B1-38, Singapore (138617)",EAT
Square 2,WEEKDAY: 9:00 AM - 8:00 PM WEEKEND: 9:00 AM TO 7:00 PM,"Square 2, 10 Sinaran Dr, #04 -02F, Singapore (307506)",EAT
Forum Shopping Mall,7:00 AM to 7:00 PM (Daily),"Forum Shopping Mall, 583 Orchard Rd, #B1 - 31, Singapore (238884)",EAT
111 Somerset,8:00 AM to 8:00 PM (Daily),"111 Somerset, 111 Somerset Rd, #01 - 20, Singapore (238164)",EAT
Bugis Junction,11:45 AM to 9:00 PM (Daily),"Bugis Junction, 200 Victoria St, #B1-K14, Singapore (188021)",Hong Kong Egglet
111 Somerset,10:00 AM to 8:00 PM (Daily),"111 Somerset, 111 Somerset Rd, #01-48, Singapore (238164)",Hong Kong Egglet
VivoCity,11:45 AM to 9:00 PM (Daily),"VivoCity, 1 HarbourFront Walk, #B2-K17, Singapore (098585)",Hong Kong Egglet
The Woodleigh Mall,11:45 AM to 9:00 PM (Daily),"The Woodleigh Mall, 11 Bidadari Park Dr, #B1-K8, Singapore (367803)",Hong Kong Egglet
Thomson Plaza,11:45 AM to 9:00 PM (Daily),"Thomson Plaza, 301 Upper Thomson Rd, #01-K8, Singapore (574408)",Hong Kong Egglet
IMM,11:45 AM to 9:00 PM (Daily),"IMM, 2 Jurong East Street 21, #01-K01, Singapore (609601)",Hong Kong Egglet
Northpoint,11:45 AM to 9:00 PM (Daily),"Northpoint, 930 Yishun Ave 2, #B1-17, Singapore (769098)",Hong Kong Egglet
Jurong Point,11:45 AM to 9:00 PM (Daily),"Jurong Point, 1 Jurong West Central 2, #03-10, Singapore (648886)",Hong Kong Egglet
Tampines One,11:45 AM to 9:00 PM (Daily),"Tampines One, 10 Tampines Central 1, #B1-K17, Singapore (529536)",Hong Kong Egglet
Canberra Plaza,11:45 AM to 9:00 PM (Daily),"Canberra Plaza, Blk 133 Canberra View, #01-24, Singapore (750133)",Hong Kong Egglet
Clementi Mall,11:45 AM to 9:00 PM (Daily),"Clementi Mall, 3155 Commonwealth Ave W, #B1-K7, Singapore (129588)",Hong Kong Egglet
Yew Tee Point,11:45 AM to 9:00 PM (Daily),"Yew Tee Point, 21 Choa Chu Kang North 6, #01-49 / 50, Singapore (689578)",Hong Kong Egglet
Buangkok Hawker Centre,11:00 AM to 9:00 PM (Daily),"Buangkok Hawker Centre, 70 Compassvale Bow, #02-K34, Singapore (544692)",Hong Kong Egglet
Tampines 1,8:30 AM to 9:30 PM (Daily),"Tampines 1, 10 Tampines Central 1, #B1-K17, Singapore (529536)",Nam Kee Pau
White Sands,8:30 AM to 9:00 PM (Daily),"White Sands, 1 Pasir Ris Central St 3, #B1-K11, Singapore (518457)",Nam Kee Pau
Bedok Mall,9:00 AM to 9:00 PM (Daily),"Bedok Mall, 311 New Upper Changi Rd, #B2-K25, Singapore (467360)",Nam Kee Pau
PLQ Mall,8:00 AM to 9:00 PM (Daily),"PLQ Mall, 10 Paya Lebar Rd, #B2-K4, Singapore (409057)",Nam Kee Pau
HarbourFront Centre,7:30 AM to 7:00 PM (Daily),"HarbourFront Centre, 1 Maritime Square, #01-84C, Singapore (099253)",Nam Kee Pau
V Hotel Lavender,8:00 AM to 9:00 PM (Daily),"V Hotel Lavender, 70 Jellicoe Road, #01-13, Singapore (208767)",Nam Kee Pau
Bugis Junction,8:00 AM to 9:00 PM (Daily),"Bugis Junction, 200 Victoria Street, #B1-K14, Singapore (188021)",Nam Kee Pau
Tiong Bahru Plaza,7:30 AM to 9:00 PM (Daily),"Tiong Bahru Plaza, 302 Tiong Bahru Rd, #B1-K5, Singapore (168732)",Nam Kee Pau
Vivo City,8:30 AM to 9:30 PM (Daily),"Vivo City, 1 Harbourfront Walk, #B2-K17, Singapore (098585)",Nam Kee Pau
Waterway Point,7:30 AM to 9:45 PM (Daily),"Waterway Point, 83 Punggol Central, #01-K3, Singapore (828761)",Nam Kee Pau
Oasis Terrace,7:30 AM to 9:00 PM (Daily),"Oasis Terrace, 681 Punggol Drive, #B1-16, Singapore (820681)",Nam Kee Pau
Plaza Singapura,7:30 AM to 9:30 PM (Daily),"Plaza Singapura, 68 Orchard Road, #B2-25, Singapore (238839)",Nam Kee Pau
Buangkok Square,7:30 AM to 8:30 PM (Daily),"Buangkok Square, 991 Buangkok Link, #01-03, Singapore (530991)",Nam Kee Pau
IMM,9:30 AM to 9:30 PM (Daily),"IMM, 2 Jurong East Street 21, #01-K01, Singapore (609601)",Nam Kee Pau
Hillion Mall,7:30 AM to 9:30 PM (Daily),"Hillion Mall, 17 Petir Road, #B2-34, Singapore (678278)",Nam Kee Pau
The Rail Mall,7:00 AM to 9:30 PM (Daily),"The Rail Mall, 444, #01-01, Singapore (678056)",Nam Kee Pau
Westmall,8:00 AM to 10:00 PM (Daily),"Westmall, 1 Bukit Batok Central Link, #B1-04, Singapore (658713)",Nam Kee Pau
Clementi Mall,7:30 AM to 9:30 PM (Daily),"Clementi Mall, 3155 Commonwealth Avenue West, #B1-K17, Singapore (129588)",Nam Kee Pau
Northpoint City,7:30 AM to 9:30 PM (Daily),"Northpoint City, 930 Yishun Avenue 2, #B1-18, Singapore (769098)",Nam Kee Pau
Sun Plaza,7:00 AM to 9:30 PM (Daily),"Sun Plaza, 30 Sembawang Drive, #B1-41, Singapore (757713)",Nam Kee Pau
Junction 8,7:30 AM to 9:30 PM (Daily),"Junction 8, 9 Bishan Place, #B1-K4, Singapore (579837)",Nam Kee Pau
Canberra Plaza,8:00 AM to 9:30 PM (Daily),"Canberra Plaza, 133 Canberra View, #01-24, Singapore (750133)",Nam Kee Pau
Valley Point, 7:45 AM to 9:00 PM (Daily),"Valley Point,  491 River Valley Road,  #01-08, Singapore ( 248371)",Nam Kee Pau
Yew Tee Point, 7:30 AM to 9:30 PM (Daily),"Yew Tee Point,  21 Choa Chu Kang North 6,  #01-49/50, Singapore ( 689578)",Nam Kee Pau
Coronation Plaza, 7:30 AM to 9:30 PM (Daily),"Coronation Plaza,  587 Bukit Timah Road, 619C, Singapore ( 269707)",Nam Kee Pau
Westgate, 9:30 AM to 8:00 PM (Daily),"Westgate,  3 Gateway Drive,  #B1-04/04A, Singapore ( 608532)",Nam Kee Pau
Thomson Plaza, 8:30 AM to 9:30 PM (Daily),"Thomson Plaza,  301 Upper Thomson Rd,  #01-K8, Singapore ( 574408)",Nam Kee Pau
Woodleigh Mall, 8:30 AM to 9:30 PM (Daily),"Woodleigh Mall,  Bidadari Park Drive,  #B1-K33, Singapore ( 357804)",Nam Kee Pau
Great World,8:30 AM to 9:00 PM (Daily),"Great World, 1 Kim Seng Promenade, #B1-102/103, Singapore (237994)",Nam Kee Pau
Star Vista,8:30 AM to 9:30 PM (Daily),"Star Vista, 1 Vista Exchange Green, #B1-40A, Singapore (138617)",Nam Kee Pau
Centrepoint,8:00 AM to 8:00 PM (Daily),"Centrepoint, 176 Orchard Road, #B2-03/06, Singapore (238843)",Nam Kee Pau
Ang Mo Kio Hub,7:00 AM to 9:00 PM (Daily),"Ang Mo Kio Hub, 53 Ang Mo Kio Avenue 3, #B2-41, Singapore (569933)",Nam Kee Pau
111 Somerset,8:00 AM to 8:00 PM (Daily),"111 Somerset, 111 Somerset Road, #01-48, Singapore (238164)",Nam Kee Pau
Eastpoint Mall,9:00 AM to 9:00 PM (Daily),"Eastpoint Mall, 3 Simei Street 6, #B1-12, Singapore (528833)",Nam Kee Pau
Singpost Centre,7:30 AM to 8:30 AM (Daily),"Singpost Centre, 10 Eunos Road 8, #B1-151/152, Singapore (408600)",Nam Kee Pau
Ci Yuan Hawker Centre,7:00 AM to 9:00 PM (Daily),"Ci Yuan Hawker Centre, 51 Hougang Avenue 9, #01-09, Singapore (538776)",Nam Kee Pau
United Square,8:00 AM to 9:30 PM (Daily),"United Square, 101 Thomson Road, #01-77, Singapore (307591)",Nam Kee Pau
SG Hawker - Mount Alvernia Hospital,9:00 AM to 7:00 PM (Daily),"SG Hawker - Mount Alvernia Hospital, 820 Thomson Road, #01-33, Singapore (574623)",Nam Kee Pau
SG Hawker - Changi Airport Terminal 1 (Transit Area),24 Hours (Daily),"SG Hawker - Changi Airport Terminal 1 (Transit Area), Airport Boulevard, #03-47/48, Singapore (819643)",Nam Kee Pau
Buangkok Hawker Centre,7:00 AM to 9:00 PM (Daily),"Buangkok Hawker Centre, 70 Compassvale Bow, #02-K41, Singapore (544692)",Nam Kee Pau
Fairprice Hub @ Joo Koon,7:30 AM to 8:00 PM (Daily),"Fairprice Hub @ Joo Koon, 1 Joo Koon Circle, #01-36, Singapore (629117)",Nam Kee Pau
National Heart Centre,7:30 AM to 6:00 PM (Daily),"National Heart Centre, 5 Hospital Drive, #02-01, Singapore (169609)",Nam Kee Pau
--,7:00 AM to 10:00 PM (Daily),"'--, 231 Sumang Lane, #--, Singapore (820231)",GREAT. FOOD
Ang Mo Kio 631,24H (Daily),"Ang Mo Kio 631, Blk 631 Ang Mo Kio Ave 4, #01-906, Singapore (560631)",Ding Ji
Canberra 126,7:00 AM to 10:00 PM (Daily),"Canberra 126, Blk 126 Canberra Street, #01-01, Singapore (750126)",Ding Ji
Keat Hong 818,7:00 AM to 10:00 PM (Daily),"Keat Hong 818, Blk 818 Choa Chu Kang Ave 1, #01-01 (Stall 7), Singapore (680818)",Ding Ji
Marsiling 131,24H (Daily),"Marsiling 131, Blk 131 Marsiling Rise, #01-206, Singapore (730131)",Ding Ji
Woodlands 304,24H (Daily),"Woodlands 304, Blk 304 Woodlands Street 31, #01-125, Singapore (730304)",Ding Ji
Woodlands 573,24H (Daily),"Woodlands 573, Blk 573 Woodlands Drive 16, #01-01, Singapore (730573)",Ding Ji
Woodlands 888,24H (Daily),"Woodlands 888, Blk 888 Woodlands Drive 50, #01-755, Singapore (730888)",Ding Ji
Yishun 101,24H (Daily),"Yishun 101, Blk 101 Yishun Ave 5, #01-55, Singapore (760101)",Ding Ji
Bedok Reservoir 121,24H (Daily),"Bedok Reservoir 121, Blk 121 Bedok Reservoir Road, #01-210, Singapore (470121)",Ding Ji
Compassvale 266,24H (Daily),"Compassvale 266, Blk 266 Compassvale Bow, #01-01, Singapore (540266)",Ding Ji
Eunos 2A,24H (Daily),"Eunos 2A, Blk 2A Eunos Crescent, #01-2431, Singapore (401002)",Ding Ji
Hougang 246,24H (Daily),"Hougang 246, Blk 246 Hougang St 22, #01-161 (Stall 5), Singapore (530246)",Ding Ji
Hougang 327,24H (Daily),"Hougang 327, Blk 327 Hougang Ave 5, #01-156, Singapore (530327)",Ding Ji
Paris Ris 444,24H (Daily),"Paris Ris 444, Blk 444 Paris Ris Drive 6, #01-102, Singapore (510444)",Ding Ji
Pasir Ris 527,7:00 AM to 10:00 PM (Daily),"Pasir Ris 527, Blk 527C Pasir Ris Street 51, #01-01, Singapore (513527)",Ding Ji
Pasir Ris 735,24H (Daily),"Pasir Ris 735, Blk 735 Pasir Ris Street 72, #01-364, Singapore (510735)",Ding Ji
Punggol 273C,7:00 AM to 10:00 PM (Daily),"Punggol 273C, Blk 273C Punggol Place, #01-882, Singapore (823273)",Ding Ji
Sengkang 455,790455,"Sengkang 455, Blk 455 Sengkang West Ave, #01-01, Singapore ( Stall 6)",Ding Ji
Tampinese 827,24H (Daily),"Tampinese 827, Blk 827 Tampinese Street 81, #01-128, Singapore (521927)",Ding Ji
Tampines 742,24H (Daily),"Tampines 742, Blk 742A Tampines Street 72, #01-01, Singapore (521742)",Ding Ji
Boon Lay 221,24H (Daily),"Boon Lay 221, Blk 221 Boon Lay Place, #01-100, Singapore (640221)",Ding Ji
Clementi 345,24H (Daily),"Clementi 345, Blk 345 Clementi Ave 5, #01-104, Singapore (120345)",Ding Ji
Bukit Batok 347,24H (Daily),"Bukit Batok 347, Blk 347 Bukit Batok Street 34, #01-252, Singapore (650347)",Ding Ji
Jurong East 132,7:00 AM to 10:00 PM (Daily),"Jurong East 132, Blk 132 Gateway Road, #01-273, Singapore (600132)",Ding Ji
Jurong East 303,24H (Daily),"Jurong East 303, Blk 303 Jurong East Street 32, #01-01, Singapore (600303)",Ding Ji
Jurong West 501,24H (Daily),"Jurong West 501, Blk 501 Jurong West Street 51, #01-251, Singapore (640501)",Ding Ji
Jurong West 651,24H (Daily),"Jurong West 651, Blk 651 Jurong West Street 61, #01-02, Singapore (640651)",Ding Ji
Kang Ching 346A,8:00 AM to 8:00 PM (Daily),"Kang Ching 346A, Blk 346-A Kang Ching Road, #01-01, Singapore (611346)",Ding Ji
Bishan 280,24H (Daily),"Bishan 280, Blk 280 Bishan Street 24, #01-24, Singapore (570280)",Ding Ji
Bishan 284,24H (Daily),"Bishan 284, Blk 284 Bishan Street 22, #01-211, Singapore (570284)",Ding Ji
Bishan 514A,24H (Daily),"Bishan 514A, Blk 514A Bishan Street 13, #01-480, Singapore (571514)",Ding Ji
Membina 26,24H (Daily),"Membina 26, Blk 26 Jalan Membina, #01-01, Singapore (161026)",Ding Ji
Serangoon 304,24H (Daily),"Serangoon 304, Blk 304 Serangoon Ave 2, #01-14, Singapore (550304)",Ding Ji
Serangoon 476,7:00 AM to 10:00 PM (Daily),"Serangoon 476, Blk 476D Upper Serangoon View, #02-05, Singapore (537476)",Ding Ji
SGH,6:00 AM to 8:00 PM (Daily),"SGH, 1 Hospital Drive, #--, Singapore (169608)",Ding Ji
Toa Payoh 184,7:00 AM to 10:00 PM (Daily),"Toa Payoh 184, Blk 184 Toa Payoh Central, #01-372, Singapore (310184)",Ding Ji
Cineleisure,11:30 AM to 9:30 PM (Daily),"Cineleisure, 8 Grange Road, #B1-01, Singapore (239695)",Taiwan Night Markets
Ci Yuan Community Club,7:00 AM to 10:00 PM (Daily),"Ci Yuan Community Club, 51 Hougang Ave 9, -, Singapore (538776)",Ci Yuan Hawker Centre
Tampines Mall,"DRINK STALL: 9:00 AM to 10:00 PM (Daily), FOOD STALLS: 10:00 AM to 10:00 PM (Daily)","Tampines Mall, 4 Tampines Central 5, #B1-15, Singapore (529510)",Kawan Kawan
The Rail Mall,"10:30 AM to 2:45 AM (Sun - Thur), 24H (Fri, Sat, Eve of PH, PH)","The Rail Mall, 380-384 Upper Bukit Timah Road, #458, Singapore (678040)",Popeyes
The Woodleigh Mall,10:00 AM to 10:00 PM (Daily),"The Woodleigh Mall, 11 Bidadari Park Dr, #B1-13, Singapore (367803)",Popeyes
Compass One,10:00 AM to 10:30 PM (Daily),"Compass One, 1 Sengkang Square, #02-29, Singapore (545078)",Popeyes
SG Hawker - Changi Airport Terminal 1 (Transit Area),24H (Daily),"SG Hawker - Changi Airport Terminal 1 (Transit Area), Not provided, #03-47/48, Singapore (819642)",Popeyes
NTU - Northspine Plaza,"10:00 AM to 8:00 PM (Mon - Fri), 10:00 AM to 5:00 PM (Sat), Closed on Sunday","NTU - Northspine Plaza, 76 Nanyang Dr, #01-04, Singapore (637331)",Popeyes